Species,Life Stage,Color,Size,Orientation,Background,Lighting,Resolution,Grouping,Habitat,Image Filename
Pacific White Shrimp,Adult,White,Medium (4-6 inches),Lateral,Natural Habitat,Natural Light,1920x1080 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/2_contrast_130.jpg
Pacific White Shrimp,Juvenile,White,Medium (4-6 inches),Top-down,Natural Habitat,Artificial Light,1920x1080 px,Small Group (2-5),Brackish Water,/mnt/data/augmented_images/6_rotated_90.jpg
Pacific White Shrimp,Larvae,White,Large (7+ inches),Frontal,Plain Backdrop,Artificial Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/8_rotated_180.jpg
Pacific White Shrimp,Larvae,White,Medium (4-6 inches),Frontal,Natural Habitat,Artificial Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/2_flip_vertical.jpg
Ghost Shrimp,Larvae,White,Small (1-3 inches),Lateral,Plain Backdrop,Natural Light,1280x720 px,Small Group (2-5),Saltwater,/mnt/data/augmented_images/6_rotated_270.jpg
Ghost Shrimp,Adult,Pink,Medium (4-6 inches),Frontal,Plain Backdrop,Artificial Light,640x480 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/9_brightness_130.jpg
Pacific White Shrimp,Juvenile,Brown,Large (7+ inches),Frontal,Natural Habitat,Artificial Light,1280x720 px,Individual,Saltwater,/mnt/data/augmented_images/0_flip_horizontal.jpg
Tiger Prawn,Adult,Pink,Medium (4-6 inches),Top-down,Aquarium,Artificial Light,1280x720 px,Individual,Brackish Water,/mnt/data/augmented_images/4_brightness_70.jpg
Tiger Prawn,Juvenile,Pink,Small (1-3 inches),Lateral,Aquarium,Natural Light,1920x1080 px,Small Group (2-5),Freshwater,/mnt/data/augmented_images/3_rotated_90.jpg
Pacific White Shrimp,Adult,Blue,Small (1-3 inches),Top-down,Natural Habitat,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/0_flip_vertical.jpg
Tiger Prawn,Larvae,White,Small (1-3 inches),Top-down,Plain Backdrop,Artificial Light,1920x1080 px,Individual,Brackish Water,/mnt/data/augmented_images/6_contrast_130.jpg
Tiger Prawn,Adult,White,Large (7+ inches),Frontal,Natural Habitat,Natural Light,640x480 px,Large Group (6+),Brackish Water,/mnt/data/augmented_images/5_flip_vertical.jpg
